system:index, MIN_B8, MIN_B8_5perc,DATE,MIN_B4,MIN_B4_5perc,PATH,ROW,SCENE_ID,.geo
7391,0.13029399514198303,0.3261348476507149,2015-01-01,0.1166306659579277,0.33004318372765995,220.0,104.0,LC08_L1GT_220104_20150101_20170415_01_T2,
7392,0.03765251114964485,0.04021735199224655,2015-01-17,0.025362471118569374,0.02766541498573401,220.0,104.0,LC08_L1GT_220104_20150117_20170413_01_T2,
7393,0.09755047410726547,0.2638732070024584,2015-02-02,0.08230821788311005,0.26388723590263075,220.0,104.0,LC08_L1GT_220104_20150202_20170413_01_T2,
7394,0.12160275876522064,0.25636696447721335,2015-02-18,0.1066286712884903,0.2558339183099001,220.0,104.0,LC08_L1GT_220104_20150218_20170412_01_T2,
7395,0.044515278190374374,0.049511476741955315,2016-01-04,0.03192948177456856,0.03668774157341697,220.0,104.0,LC08_L1GT_220104_20160104_20170404_01_T2,
7396,0.5113552808761597,0.5711802116477495,2016-01-20,0.5168082118034363,0.5789775272751828,220.0,104.0,LC08_L1GT_220104_20160120_20170405_01_T2,
7397,0.047947339713573456,0.06067328608403126,2016-02-05,0.03528338670730591,0.04573206575064261,220.0,104.0,LC08_L1GT_220104_20160205_20170330_01_T2,
7398,0.16674663126468658,0.25961531762864104,2016-02-21,0.1721201092004776,0.25966859016463184,220.0,104.0,LC08_L1GT_220104_20160221_20170329_01_T2,
7399,0.03484838083386421,0.04072024485932297,2017-01-06,0.023190582171082497,0.02650352860492906,220.0,104.0,LC08_L1GT_220104_20170106_20170312_01_T2,
7400,0.0685742050409317,0.11913987492304823,2017-01-22,0.05730724334716797,0.10749849365375018,220.0,104.0,LC08_L1GT_220104_20170122_20170311_01_T2,
7401,0.05744723230600357,0.12304731005739028,2017-02-07,0.04095359519124031,0.11188884592545571,220.0,104.0,LC08_L1GT_220104_20170207_20170216_01_T2,
7402,0.14253614842891693,0.21585283898950924,2017-02-23,0.13133376836776733,0.20906152591048197,220.0,104.0,LC08_L1GT_220104_20170223_20170301_01_T2,
7403,0.38739967346191406,0.45797578779556775,2018-01-09,0.3890722095966339,0.4658877715916919,220.0,104.0,LC08_L1GT_220104_20180109_20180119_01_T2,
7404,0.13390374183654785,0.28706527938469006,2018-01-25,0.11941937357187271,0.28305500845597414,220.0,104.0,LC08_L1GT_220104_20180125_20180206_01_T2,
7405,0.10420020669698715,0.17363785210931715,2018-02-10,0.08800745010375977,0.16592663131296628,220.0,104.0,LC08_L1GT_220104_20180210_20180222_01_T2,
7406,0.1687978059053421,0.2834993243694237,2018-02-26,0.15714260935783386,0.27936685361659885,220.0,104.0,LC08_L1GT_220104_20180226_20180308_01_T2,
7407,0.07890716940164566,0.13481571994117592,2019-01-12,0.06678232550621033,0.12690779020365484,220.0,104.0,LC08_L1GT_220104_20190112_20190131_01_T2,
7408,0.05840215086936951,0.13473911852400322,2019-01-28,0.044529907405376434,0.1268686904597367,220.0,104.0,LC08_L1GT_220104_20190128_20190206_01_T2,
7409,0.4154914319515228,0.49504055359062565,2019-02-13,0.4203574061393738,0.5049952440682451,220.0,104.0,LC08_L1GT_220104_20190213_20190222_01_T2,
7410,0.25654077529907227,0.37211489605835235,2014-01-14,0.25505921244621277,0.377656423184961,220.0,105.0,LC08_L1GT_220105_20140114_20170426_01_T2,
7411,0.05868768319487572,0.07237442945659772,2014-01-30,0.04449429363012314,0.05669280379172263,220.0,105.0,LC08_L1GT_220105_20140130_20170426_01_T2,
7412,0.450136661529541,0.48924167688100095,2014-02-15,0.45133668184280396,0.4913799122069486,220.0,105.0,LC08_L1GT_220105_20140215_20170425_01_T2,
7413,0.11275339126586914,0.19775065583094026,2015-01-01,0.09652874618768692,0.1894446677440682,220.0,105.0,LC08_L1GT_220105_20150101_20170415_01_T2,
7414,0.041505854576826096,0.04252925633608503,2015-01-17,0.028094211593270302,0.030404142857538705,220.0,105.0,LC08_L1GT_220105_20150117_20170413_01_T2,
7415,0.050373610109090805,0.05663469783746869,2015-02-02,0.03562740981578827,0.0409386949253476,220.0,105.0,LC08_L1GT_220105_20150202_20170413_01_T2,
7416,0.24074561893939972,0.3623349810795394,2015-02-18,0.2221248745918274,0.36544172309945155,220.0,105.0,LC08_L1GT_220105_20150218_20170412_01_T2,
7417,0.04539259895682335,0.0499395452087511,2016-01-04,0.032568395137786865,0.03700875781634043,220.0,105.0,LC08_L1GT_220105_20160104_20170404_01_T2,
7418,0.4427664875984192,0.4526060991875789,2016-01-20,0.44483599066734314,0.4545815150412891,220.0,105.0,LC08_L1GT_220105_20160120_20170405_01_T2,
7419,0.0570877268910408,0.06169247665764818,2016-02-05,0.04281579330563545,0.046321624573418506,220.0,105.0,LC08_L1GT_220105_20160205_20170330_01_T2,
7420,0.21797282993793488,0.28724983247482583,2016-02-21,0.2221967577934265,0.28699283087959493,220.0,105.0,LC08_L1GT_220105_20160221_20170329_01_T2,
7421,0.0407843142747879,0.0449904687759014,2017-01-06,0.02772309072315693,0.029849474060642433,220.0,105.0,LC08_L1GT_220105_20170106_20170312_01_T2,
7422,0.14198406040668488,0.26727330889920786,2017-01-22,0.13423383235931396,0.26762021190731805,220.0,105.0,LC08_L1GT_220105_20170122_20170311_01_T2,
7423,0.09439870715141296,0.18066026802444402,2017-02-07,0.07566573470830917,0.17299737911817514,220.0,105.0,LC08_L1GT_220105_20170207_20170216_01_T2,
7424,0.24948249757289886,0.3076181008924024,2017-02-23,0.2417173832654953,0.3056847694534354,220.0,105.0,LC08_L1GT_220105_20170223_20170301_01_T2,
7425,0.3955160975456238,0.4364056912325865,2018-01-09,0.39855554699897766,0.4424354867237371,220.0,105.0,LC08_L1GT_220105_20180109_20180119_01_T2,
7426,0.3833446204662323,0.4851117373946026,2018-01-25,0.3930841386318207,0.4949841117781272,220.0,105.0,LC08_L1GT_220105_20180125_20180206_01_T2,
7427,0.13430212438106537,0.22849408058237752,2018-02-10,0.12076503783464432,0.22121231053507923,220.0,105.0,LC08_L1GT_220105_20180210_20180222_01_T2,
