system:index, MIN_B3, MIN_B3_5perc,MIN_B4,MIN_B4_5perc,SCENE_ID,TILE,.geo
5186,4329,5095.695260279522,4421,5352.183683734031,L1C_T49DFH_A013527_20180124T013535,49DFH,
5187,7222,7294.342706502635,7476,7585.523696682465,L1C_T50DMM_A013527_20180124T013535,50DMM,
5188,4970,5768.159316283925,5239,6072.3357484797525,L1C_T50DMN_A013527_20180124T013535,50DMN,
5189,7097,7237.592566863492,7401,7561.710403397025,L1C_T50DNM_A013527_20180124T013535,50DNM,
5190,7043,7225.077714285715,7323,7525.301304863584,L1C_T50DNN_A013527_20180124T013535,50DNN,
5191,7814,7881.587519025876,8083,8146.559973045821,L1C_T44DPL_A013528_20180124T031608,44DPL,
5192,5739,6478.82859486058,5899,6766.287204664007,L1C_T44DPM_A013528_20180124T031608,44DPM,
5193,5723,6863.672328658899,5895,7024.047504578754,L1C_T45DVG_A013528_20180124T031608,45DVG,
5194,2340,4897.417707701639,2171,4832.005635163418,L1C_T45DWG_A013528_20180124T031608,45DWG,
5195,1683,2225.296049920527,1688,2192.8474795346833,L1C_T45DXG_A013528_20180124T031608,45DXG,
5196,2380,2871.7365895275675,2363,2951.866138941398,L1C_T45DXH_A013528_20180124T031608,45DXH,
5197,2422,2856.091975354465,2387,2887.7535870243296,L1C_T46DDN_A013528_20180124T031608,46DDN,
5198,523,531.9999999999999,265,269.00000000000006,L1C_T40DEM_A013529_20180124T045724,40DEM,
5199,481,506.8802808651853,239,252.70239282153543,L1C_T40DFM_A013529_20180124T045724,40DFM,
5200,473,495.6649757780198,235,250.65648400867798,L1C_T41DMG_A013529_20180124T045724,41DMG,
5201,465,495.7860681297368,231,250.06185872022147,L1C_T41DNF_A013529_20180124T045724,41DNF,
5202,465,482.3866008265041,231,244.9054028169733,L1C_T41DNG_A013529_20180124T045724,41DNG,
5203,766,1910.4062500000002,476,1487.3008130081303,L1C_T41DPF_A013529_20180124T045724,41DPF,
5204,6038,6360.09153372295,6198,6535.052295741434,L1C_T35DPD_A013530_20180124T063820,35DPD,
5205,6056,6360.030262599309,6210,6535.1891025641025,L1C_T36DVJ_A013530_20180124T063820,36DVJ,
5206,1023,4634.531823506442,666,4319.751273344652,L1C_T36DVK_A013530_20180124T063820,36DVK,
5207,906,2267.0572036716776,561,1950.866678792288,L1C_T36DWK_A013530_20180124T063820,36DWK,
5208,1498,5454.721677970358,1054,5423.961690885073,L1C_T36DXJ_A013530_20180124T063820,36DXJ,
5209,934,4774.093342981187,596,4576.370586329768,L1C_T36DXK_A013530_20180124T063820,36DXK,
5210,5480,6104.000587889476,5218,6103.402080506559,L1C_T37DDD_A013530_20180124T063820,37DDD,
5211,5527,6135.786463910901,5526,6215.976663356503,L1C_T37DDE_A013530_20180124T063820,37DDE,
5212,5695,6072.158182813355,5925,6408.185167577846,L1C_T37DEE_A013530_20180124T063820,37DEE,
5213,4606,4646.0,4389,4403.067039106146,L1C_T22CEU_A013532_20180124T100049,22CEU,
5214,4315,4847.959828778399,3976,4719.113321630583,L1C_T23CMP_A013532_20180124T100049,23CMP,
5215,3737,4464.510028328612,3500,4368.015576781779,L1C_T23CNP_A013532_20180124T100049,23CNP,
5216,3737,4366.587503381119,3500,4269.395004958975,L1C_T23CNQ_A013532_20180124T100049,23CNQ,
5217,3733,4237.804368879803,3495,4112.665217391304,L1C_T24CVU_A013532_20180124T100049,24CVU,
5218,3733,4462.77893507252,3495,4398.218552036198,L1C_T24CVV_A013532_20180124T100049,24CVV,
5219,1518,2990.9317406143346,1352,2991.2093235831803,L1C_T24CWV_A013532_20180124T100049,24CWV,
5220,1544,2991.893862987631,1379,3025.0727812000905,L1C_T25CDQ_A013532_20180124T100049,25CDQ,
5221,2913,3952.3928206293313,2882,4014.735615536537,L1C_T25CEQ_A013532_20180124T100049,25CEQ,
5222,2513,3537.046169039585,2472,3630.664888682745,L1C_T25CER_A013532_20180124T100049,25CER,
5223,2530,3559.2037991858892,2476,3665.6906053925723,L1C_T26CMA_A013532_20180124T100049,26CMA,
5224,2454,2802.366848678843,2380,2799.579787913632,L1C_T26CMB_A013532_20180124T100049,26CMB,
5225,2425,2543.4865836949084,2356,2480.552391341793,L1C_T26CNB_A013532_20180124T100049,26CNB,
5226,3294,6163.404153080489,3264,6288.854492415402,L1C_T26CNC_A013532_20180124T100049,26CNC,
5227,2532,3150.4590022759426,2486,3184.2886516409653,L1C_T27CVT_A013532_20180124T100049,27CVT,
5228,2488,2831.2840370955005,2412,2799.632875468271,L1C_T27CVU_A013532_20180124T100049,27CVU,
5229,4827,5710.891860465115,4629,5776.8246476565055,L1C_T27CWU_A013532_20180124T100049,27CWU,
5230,7030,7590.887480415896,7240,7848.260565312844,L1C_T27CWV_A013532_20180124T100049,27CWV,
